[ 00:00:00.604 -->  00:00:01.026] A SPEAKER_00
[ 00:00:01.313 -->  00:00:03.152] B SPEAKER_00
[ 00:00:02.123 -->  00:00:02.595] C SPEAKER_01
[ 00:00:03.405 -->  00:00:03.777] D SPEAKER_00
[ 00:00:04.182 -->  00:00:04.958] E SPEAKER_01
[ 00:00:05.819 -->  00:00:06.629] F SPEAKER_00
[ 00:00:06.780 -->  00:00:11.860] G SPEAKER_00
[ 00:00:12.265 -->  00:00:15.758] H SPEAKER_00
[ 00:00:12.332 -->  00:00:12.940] I SPEAKER_01
[ 00:00:16.163 -->  00:00:18.171] J SPEAKER_00
[ 00:00:18.660 -->  00:00:19.015] K SPEAKER_01
[ 00:00:18.930 -->  00:00:18.964] L SPEAKER_00
[ 00:00:19.015 -->  00:00:19.319] M SPEAKER_00
[ 00:00:19.842 -->  00:00:20.196] N SPEAKER_01
[ 00:00:21.546 -->  00:00:25.512] O SPEAKER_00
[ 00:00:25.866 -->  00:00:27.773] P SPEAKER_00
[ 00:00:28.465 -->  00:00:29.528] Q SPEAKER_01
[ 00:00:30.203 -->  00:00:33.764] R SPEAKER_00
[ 00:00:34.219 -->  00:00:34.742] S SPEAKER_01
[ 00:00:36.295 -->  00:00:39.855] T SPEAKER_00
[ 00:00:40.260 -->  00:00:43.062] U SPEAKER_00
[ 00:00:43.180 -->  00:00:43.973] V SPEAKER_01
[ 00:00:44.226 -->  00:00:47.044] W SPEAKER_01
[ 00:00:47.871 -->  00:00:49.187] X SPEAKER_00
[ 00:00:50.892 -->  00:00:51.719] Y SPEAKER_00
[ 00:00:53.997 -->  00:00:55.954] Z SPEAKER_00
[ 00:00:56.359 -->  00:00:56.730] AA SPEAKER_01
[ 00:00:57.827 -->  00:01:02.738] AB SPEAKER_00
[ 00:01:03.194 -->  00:01:03.599] AC SPEAKER_01
[ 00:01:04.898 -->  00:01:05.387] AD SPEAKER_00
[ 00:01:05.674 -->  00:01:11.378] AE SPEAKER_00
[ 00:01:11.901 -->  00:01:11.935] AF SPEAKER_00
[ 00:01:11.935 -->  00:01:12.104] AG SPEAKER_01
[ 00:01:12.104 -->  00:01:13.251] AH SPEAKER_00
[ 00:01:13.555 -->  00:01:13.977] AI SPEAKER_01
[ 00:01:14.449 -->  00:01:15.141] AJ SPEAKER_00
[ 00:01:15.968 -->  00:01:16.424] AK SPEAKER_00
[ 00:01:16.879 -->  00:01:19.022] AL SPEAKER_00
[ 00:01:19.377 -->  00:01:20.153] AM SPEAKER_00
[ 00:01:20.440 -->  00:01:21.587] AN SPEAKER_00
[ 00:01:21.975 -->  00:01:23.342] AO SPEAKER_01
[ 00:01:23.832 -->  00:01:24.540] AP SPEAKER_01
[ 00:01:25.013 -->  00:01:25.789] AQ SPEAKER_01
[ 00:01:27.173 -->  00:01:27.797] AR SPEAKER_01
[ 00:01:28.709 -->  00:01:29.451] AS SPEAKER_01
[ 00:01:30.075 -->  00:01:30.700] AT SPEAKER_01
[ 00:01:31.611 -->  00:01:32.337] AU SPEAKER_01
[ 00:01:32.691 -->  00:01:33.434] AV SPEAKER_01
[ 00:01:33.687 -->  00:01:34.024] AW SPEAKER_01
[ 00:01:36.758 -->  00:01:36.960] AX SPEAKER_00
[ 00:01:37.214 -->  00:01:39.644] AY SPEAKER_00
[ 00:01:40.285 -->  00:01:42.023] AZ SPEAKER_01
[ 00:01:42.985 -->  00:01:44.689] BA SPEAKER_00
[ 00:01:45.077 -->  00:01:45.381] BB SPEAKER_00
[ 00:01:45.381 -->  00:01:45.398] BC SPEAKER_01
[ 00:01:45.398 -->  00:01:45.465] BD SPEAKER_00
